,sd,type
beta1,0,fixed
beta2,0,fixed
beta3,0,fixed
muh,0,fixed
sigma1,0,fixed
gamma1,0,fixed
tau1,0,fixed
alpha1,0,fixed
delta1,0,fixed
sigma2,0,fixed
tau2,0,fixed
alpha2,0.0,fixed
delta2,0,fixed
tau3,0,fixed
delta3,0,fixed
xi,0.0,fixed
rho,0,fixed
nm,0,fixed
log.muv,0.1,par
log.muv1,0.1,par
log.muv2,0.1,par
log.muv3,0.1,par
log.muv4,0.1,par
log.muv5,0.1,par
log.muv6,0.1,par
log.muv7,0.1,par
log.muv8,0.1,par
log.muv9,0.1,par
bmuv,0,fixed
cmuv,0.1,par
tau,0.1,par
BSH.0,0.1,ivp
BEH.0,0.1,ivp
BIH.0,0.1,ivp
BEQ.0,0.1,ivp
BIQ.0,0.1,ivp
BH.0,0.1,ivp
BR.0,0.1,ivp
CSH.0,0.1,ivp
CEH.0,0.1,ivp
CIH.0,0.1,ivp
CEQ.0,0.1,ivp
CIQ.0,0.1,ivp
CH.0,0.1,ivp
CR.0,0.1,ivp
DSH.0,0.1,ivp
DEH.0,0.1,ivp
DIH.0,0.1,ivp
DEQ.0,0.1,ivp
DIQ.0,0.1,ivp
DH.0,0.1,ivp
DR.0,0.1,ivp
pop,0,fixed
susc.ini,0,fixed
infe.ini,0,fixed
t0,0,fixed
