"","sd","type","S.0","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9"
"beta1",0,"fixed",1,1,1,1,1,1,1,1,1,1
"beta2",0,"fixed",1,1,1,1,1,1,1,1,1,1
"beta3",0,"fixed",1,1,1,1,1,1,1,1,1,1
"muh",0,"fixed",0.01825,0.01825,0.01825,0.01825,0.01825,0.01825,0.01825,0.01825,0.01825,0.01825
"sigma1",0,"fixed",189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8,189.8
"gamma1",0,"fixed",36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5
"tau1",0,"fixed",18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705
"alpha1",0,"fixed",83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95
"delta1",0,"fixed",76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65
"sigma2",0,"fixed",149.65,149.65,149.65,149.65,149.65,149.65,149.65,149.65,149.65,149.65
"tau2",0,"fixed",18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705
"alpha2",0,"fixed",73,73,73,73,73,73,73,73,73,73
"delta2",0,"fixed",73,73,73,73,73,73,73,73,73,73
"tau3",0,"fixed",18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705,18.8705
"delta3",0,"fixed",69.35,69.35,69.35,69.35,69.35,69.35,69.35,69.35,69.35,69.35
"xi",0,"fixed",2.4455,2.4455,2.4455,2.4455,2.4455,2.4455,2.4455,2.4455,2.4455,2.4455
"rho",0,"fixed",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"nm",0,"fixed",2,3,4,5,6,6,7,8,9,10
"log.muv",0.1,"par",6.81853968758403,5.29725262872544,4.7161015467858,4.88765765478202,5.24555626422476,4.9367324168706,5.18900087978274,-2.18040550735133,3.90019621636596,-3.21634230977345
"log.muv1",0.1,"par",3.91228133282822,6.8966443462042,7.00596780408507,6.51126224527744,5.87850288571088,5.95884954953007,5.21315160849274,-0.321148970241796,5.6602587554475,5.11199400721397
"log.muv2",0.1,"par",1,2.67062010211746,5.43167488153452,6.79661341781021,7.17938014193362,7.24794840566471,6.67614674729095,6.47219981559274,5.24765511915859,3.72472461684671
