case,time,case,time,case,time
1,2016.843258,4,2017.843258,7,2018.843258
0,2016.862423,2,2017.862423,6,2018.862423
0,2016.881588,5,2017.881588,4,2018.881588
2,2016.900753,2,2017.900753,7,2018.900753
4,2016.919918,8,2017.919918,13,2018.919918
7,2016.939083,5,2017.939083,7,2018.939083
9,2016.958248,1,2017.958248,12,2018.958248
4,2016.977413,8,2017.977413,14,2018.977413
5,2016.996578,4,2017.996578,22,2018.996578
3,2017.019165,10,2018.019165,25,2019.019165
5,2017.03833,26,2018.03833,44,2019.03833
10,2017.057495,46,2018.057495,76,2019.057495
8,2017.07666,35,2018.07666,80,2019.07666
11,2017.095825,37,2018.095825,65,2019.095825
11,2017.11499,43,2018.11499,38,2019.11499
8,2017.134155,69,2018.134155,24,2019.134155
11,2017.15332,56,2018.15332,22,2019.15332
20,2017.172485,37,2018.172485,39,2019.172485
11,2017.19165,13,2018.19165,45,2019.19165
4,2017.210815,9,2018.210815,26,2019.210815
5,2017.229979,16,2018.229979,16,2019.229979
15,2017.249144,7,2018.249144,17,2019.249144
1,2017.268309,8,2018.268309,11,2019.268309
10,2017.287474,5,2018.287474,4,2019.287474
3,2017.306639,1,2018.306639,7,2019.306639
6,2017.325804,4,2018.325804,8,2019.325804
6,2017.344969,3,2018.344969,NA,2019.344969
4,2017.364134,5,2018.364134,NA,2019.364134
5,2017.383299,3,2018.383299,NA,2019.383299
0,2017.402464,0,2018.402464,NA,2019.402464
2,2017.421629,1,2018.421629,NA,2019.421629
