"","loglik","loglik.sd","nfail.max","nfail.min","beta1","beta2","beta3","muh","sigma1","gamma1","tau1","alpha1","delta1","sigma2","tau2","alpha2","delta2","tau3","delta3","xi","rho","nm","log.muv","log.muv1","log.muv2","log.muv3","log.muv4","log.muv5","log.muv6","log.muv7","log.muv8","log.muv9","bmuv","cmuv","tau","BSH.0","BEH.0","BIH.0","BEQ.0","BIQ.0","BH.0","BR.0","CSH.0","CEH.0","CIH.0","CEQ.0","CIQ.0","CH.0","CR.0","DSH.0","DEH.0","DIH.0","DEQ.0","DIQ.0","DH.0","DR.0","pop","susc.ini","infe.ini","t0","delat1","delat2","delat3"
"S.0",-284.550677247411,1.3599597019307,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,2,6.81853968758403,3.91228133282822,1,1,1,1,1,1,1,1,1,97.3946444413107,0.132087362145791,0.0144847147920846,2.12995768497426e-08,2.01599243874759e-08,0,0,0,0.985515243748413,0.0999289242372919,6.84814479559319e-08,2.72514552457136e-08,0,0,0,0.900070980029806,0.299026400784335,2.09681843383726e-08,6.54403718058906e-08,0,0,0,0.700973512807109,5e+07,0.333333333333333,1,0.289,-284.550677247411,1.3599597019307,0
"S.1",-264.111155113227,0.295438426880183,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,3,5.29725262872544,6.8966443462042,2.67062010211746,1,1,1,1,1,1,1,1,39.9680076727761,0.0735315760284448,0.0249330940131815,2.30670141483679e-08,2.66516086882213e-08,0,0,0,0.975066856268196,0.597312408286784,2.58306012992806e-08,3.31755346477926e-08,0,0,0,0.402687532707081,0.884738764017861,6.41944315751043e-08,3.55333759021555e-08,0,0,0,0.115261136254331,5e+07,0.333333333333333,1,0.289,-264.111155113227,0.295438426880183,0
"S.2",-261.782507089675,0.380212886299199,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,4,4.7161015467858,7.00596780408507,5.43167488153452,3.43401478541559,1,1,1,1,1,1,1,42.3122158060173,0.0497050686545839,0.0125324339627967,2.67856520046273e-08,2.13267293326488e-08,0,0,0,0.987467517924821,0.588229896482174,3.29479240669539e-08,2.85250779533558e-08,0,0,0,0.411770042044824,0.896863743306881,5.63091401685283e-08,2.41871748920384e-08,0,0,0,0.103136176196806,5e+07,0.333333333333333,1,0.289,-261.782507089675,0.380212886299199,0
"S.3",-262.387663427197,0.256615182663208,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,5,4.88765765478202,6.51126224527744,6.79661341781021,4.41708380611744,3.24803553347413,1,1,1,1,1,1,43.6428111878029,0.0524686334260838,0.0235398971976441,2.17093042690066e-08,2.18729735522752e-08,0,0,0,0.976460059220079,0.516165733833226,2.16086543480302e-08,3.12418614318479e-08,0,0,0,0.483834213316258,0.86411837315132,7.48388063501298e-08,5.51608420294084e-08,0,0,0,0.135881496849033,5e+07,0.333333333333333,1,0.289,-262.387663427197,0.256615182663208,0
"S.4",-260.969446955909,0.353920967975763,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,6,5.24555626422476,5.87850288571088,7.17938014193362,5.86325843424751,4.54393206575064,2.81192756206862,1,1,1,1,1,41.5498368855926,0.0500684967152829,0.0144029160309768,2.33621676218134e-08,2.60573997602319e-08,0,0,0,0.985597034549456,0.609531105458117,2.66033697490989e-08,3.00564925488103e-08,0,0,0,0.390468837882021,0.884572574165677,2.07581297092062e-08,5.85600856373246e-08,0,0,0,0.115427346516108,5e+07,0.333333333333333,1,0.289,-260.969446955909,0.353920967975763,0
"S.5",-261.142819219557,0.277648830805313,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,6,4.9367324168706,5.95884954953007,7.24794840566471,5.98519270291914,4.69020801077775,3.40687652399367,1,1,1,1,1,38.4447948254675,0.0569406707548306,0.0143001730218466,2.13115559724986e-08,2.14864272187153e-08,0,0,0,0.98569978418017,0.562691747351546,3.23187333272489e-08,2.195665838478e-08,0,0,0,0.437308198373062,0.889574777764565,7.10251067638297e-08,3.147015009276e-08,0,0,0,0.110425119740177,5e+07,0.333333333333333,1,0.289,-261.142819219557,0.277648830805313,0
"S.6",-266.411606300748,0.91536833995371,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,7,5.18900087978274,5.21315160849274,6.67614674729095,5.66041580121903,1.94242854785975,4.3706087489958,0.0886317271705117,1,1,1,1,67.4553973548126,0.0487609909697576,0.0718769982823928,2.33273213233353e-08,2.10046669629326e-08,0,0,0,0.928122957385619,0.458422628976118,5.6923930324009e-08,2.66419054320415e-08,0,0,0,0.541577287458047,0.798038186388773,2.68070709896046e-08,5.64049412237423e-08,0,0,0,0.201961730399214,5e+07,0.333333333333333,1,0.289,-266.411606300748,0.91536833995371,0
"S.7",-267.764626682728,0.826692784714927,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,8,-2.18040550735133,-0.321148970241796,6.47219981559274,6.11434163664571,5.4007550239919,-0.573083784310683,4.86842127379596,-3.60725281788537,1,1,1,61.4429515337812,0.0399203146829661,0.0527214077379912,2.13985626773312e-08,2.37311486100045e-08,0,0,0,0.947278547132298,0.794406871568413,3.16926615879345e-08,2.28374081628074e-08,0,0,0,0.205593073901515,0.898697910753548,7.76103777497681e-08,5.15125370186198e-08,0,0,0,0.101301960123539,5e+07,0.333333333333333,1,0.289,-267.764626682728,0.826692784714927,0
"S.8",-268.000819159068,0.827002143954179,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,9,3.90019621636596,5.6602587554475,5.24765511915859,6.77586880499252,0.109367088246932,2.30351381601211,3.1969812858701,-2.62048710232588,2.38687282440466,1,1,75.7233963647534,0.0497942354195862,0.225752869534703,2.28837577226319e-08,2.91869942777276e-08,0,0,0,0.774247078394546,0.583520997715077,5.64276187110307e-08,2.8803985338222e-08,0,0,0,0.416478917053318,0.696625621089027,2.54824203438033e-08,5.67991765823541e-08,0,0,0,0.303374296629375,5e+07,0.333333333333333,1,0.289,-268.000819159068,0.827002143954179,0
"S.9",-267.832620843788,0.640321820081587,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,10,-3.21634230977345,5.11199400721397,3.72472461684671,6.56206062971978,3.69648426121371,0.33405954549768,-0.451074510235471,2.14623877075765,-7.28056170466621,1.81997260670947,1,75.4463447985668,0.0400823926371755,0.264912537600937,2.3259239733487e-08,2.73412351401861e-08,0,0,0,0.735087411798589,0.747161676376393,2.2533475002803e-08,3.34174035722123e-08,0,0,0,0.252838267672728,0.883001692460323,2.61975514309595e-08,7.50908936035697e-08,0,0,0,0.116998206251233,5e+07,0.333333333333333,1,0.289,-267.832620843788,0.640321820081587,0
