"","loglik","loglik.sd","nfail.max","nfail.min","beta1","beta2","beta3","muh","sigma1","gamma1","tau1","alpha1","delta1","sigma2","tau2","alpha2","delta2","tau3","delta3","xi","rho","nm","log.muv","log.muv1","log.muv2","log.muv3","log.muv4","log.muv5","log.muv6","log.muv7","log.muv8","log.muv9","bmuv","cmuv","tau","BSH.0","BEH.0","BIH.0","BEQ.0","BIQ.0","BH.0","BR.0","CSH.0","CEH.0","CIH.0","CEQ.0","CIQ.0","CH.0","CR.0","DSH.0","DEH.0","DIH.0","DEQ.0","DIQ.0","DH.0","DR.0","pop","susc.ini","infe.ini","t0","delat1","delat2","delat3"
"S.0",-284.550677247411,1.3599597019307,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,2,6.81853968758403,3.91228133282822,1,1,1,1,1,1,1,1,1,97.3946444413107,0.132087362145791,0.0144847147920846,2.12995768497426e-08,2.01599243874759e-08,0,0,0,0.985515243748413,0.0999289242372919,6.84814479559319e-08,2.72514552457136e-08,0,0,0,0.900070980029806,0.299026400784335,2.09681843383726e-08,6.54403718058906e-08,0,0,0,0.700973512807109,5e+07,0.333333333333333,1,0.289,-284.550677247411,1.3599597019307,0
"S.1",-264.30806623962,0.623237730843878,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,3,5.37489827917149,6.80381825373394,1.98621618802541,1,1,1,1,1,1,1,1,46.8584033247529,0.0422310528504091,0.0138994934925025,2.23187455578923e-08,2.13830062666956e-08,0,0,0,0.986100462805747,0.525295258766839,4.38718750221541e-08,2.6353105510086e-08,0,0,0,0.474704671008181,0.775492718531014,1.08916064350352e-07,2.28675775215455e-08,0,0,0,0.224507149685345,5e+07,0.333333333333333,1,0.289,-264.30806623962,0.623237730843878,0
"S.2",-262.14723481011,0.285765705485817,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,4,4.75797294359287,7.08577073634477,5.57095146323225,3.59371312765909,1,1,1,1,1,1,1,36.4503660125439,0.0510710500327492,0.0112789322252594,2.155703613861e-08,2.13683447147135e-08,0,0,0,0.98872102484936,0.555840492922995,2.55176507147245e-08,2.49418854154549e-08,0,0,0,0.444159456617469,0.876413997656446,6.13986162372228e-08,4.21021665336297e-08,0,0,0,0.123585898842772,5e+07,0.333333333333333,1,0.289,-262.14723481011,0.285765705485817,0
"S.3",-262.387663427197,0.256615182663208,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,5,4.88765765478202,6.51126224527744,6.79661341781021,4.41708380611744,3.24803553347413,1,1,1,1,1,1,43.6428111878029,0.0524686334260838,0.0235398971976441,2.17093042690066e-08,2.18729735522752e-08,0,0,0,0.976460059220079,0.516165733833226,2.16086543480302e-08,3.12418614318479e-08,0,0,0,0.483834213316258,0.86411837315132,7.48388063501298e-08,5.51608420294084e-08,0,0,0,0.135881496849033,5e+07,0.333333333333333,1,0.289,-262.387663427197,0.256615182663208,0
"S.4",-261.228097101598,0.34111381292922,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,6,5.24623562218786,5.99677939806418,7.26479972462014,5.95889299343828,4.69223913510519,2.78530491774174,1,1,1,1,1,36.2040862186627,0.0604913275482539,0.012752810661993,2.55843075055616e-08,2.22446463985871e-08,0,0,0,0.987247141509053,0.564626899334884,2.13009281441465e-08,3.31774734257777e-08,0,0,0,0.435373046186713,0.885395023308149,3.38281725019508e-08,6.80129490114146e-08,0,0,0,0.11460487485073,5e+07,0.333333333333333,1,0.289,-261.228097101598,0.34111381292922,0
"S.5",-261.142819219557,0.277648830805313,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,6,4.9367324168706,5.95884954953007,7.24794840566471,5.98519270291914,4.69020801077775,3.40687652399367,1,1,1,1,1,38.4447948254675,0.0569406707548306,0.0143001730218466,2.13115559724986e-08,2.14864272187153e-08,0,0,0,0.98569978418017,0.562691747351546,3.23187333272489e-08,2.195665838478e-08,0,0,0,0.437308198373062,0.889574777764565,7.10251067638297e-08,3.147015009276e-08,0,0,0,0.110425119740177,5e+07,0.333333333333333,1,0.289,-261.142819219557,0.277648830805313,0
"S.6",-266.411606300748,0.91536833995371,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,7,5.18900087978274,5.21315160849274,6.67614674729095,5.66041580121903,1.94242854785975,4.3706087489958,0.0886317271705117,1,1,1,1,67.4553973548126,0.0487609909697576,0.0718769982823928,2.33273213233353e-08,2.10046669629326e-08,0,0,0,0.928122957385619,0.458422628976118,5.6923930324009e-08,2.66419054320415e-08,0,0,0,0.541577287458047,0.798038186388773,2.68070709896046e-08,5.64049412237423e-08,0,0,0,0.201961730399214,5e+07,0.333333333333333,1,0.289,-266.411606300748,0.91536833995371,0
"S.7",-267.966362571735,0.803174670380785,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,8,-3.07235684480787,-1.50502911968206,6.29320008272934,5.97882682765649,4.91573803755968,0.0132647927165056,4.43144993881833,-3.56601649957435,1,1,1,67.3818806026116,0.0280074382357063,0.121891933559635,2.47185923638573e-08,2.19232209758301e-08,0,0,0,0.878108019798551,0.719121325778462,2.56239683847129e-08,3.44806472982481e-08,0,0,0,0.280878614116922,0.895693398322199,1.82724375418681e-07,2.58553818030905e-08,0,0,0,0.104306393098044,5e+07,0.333333333333333,1,0.289,-267.966362571735,0.803174670380785,0
"S.8",-268.451132001956,1.09221939530646,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,9,2.80139249642338,5.92445774524635,4.85759261835263,6.60608947330645,-0.314800906318469,4.14582055171228,2.24058480553272,-2.53605069023937,2.06456658927749,1,1,73.099051432256,0.0268013341388415,0.294251678033908,2.86163657506357e-08,2.14138743249648e-08,0,0,0,0.705748271935852,0.626487515876595,6.31118864147304e-08,2.81006336117679e-08,0,0,0,0.373512392910885,0.744322892388481,5.94899554877916e-08,5.48291475096558e-08,0,0,0,0.255676993292416,5e+07,0.333333333333333,1,0.289,-268.451132001956,1.09221939530646,0
"S.9",-267.832620843788,0.640321820081587,0,0,1,1,1,0.01825,189.8,36.5,18.8705,83.95,76.65,149.65,18.8705,73,73,18.8705,69.35,2.4455,0.1,10,-3.21634230977345,5.11199400721397,3.72472461684671,6.56206062971978,3.69648426121371,0.33405954549768,-0.451074510235471,2.14623877075765,-7.28056170466621,1.81997260670947,1,75.4463447985668,0.0400823926371755,0.264912537600937,2.3259239733487e-08,2.73412351401861e-08,0,0,0,0.735087411798589,0.747161676376393,2.2533475002803e-08,3.34174035722123e-08,0,0,0,0.252838267672728,0.883001692460323,2.61975514309595e-08,7.50908936035697e-08,0,0,0,0.116998206251233,5e+07,0.333333333333333,1,0.289,-267.832620843788,0.640321820081587,0
