time,Edo,Ondo,Ebonyi,Bauchi,Plateau,total
2016.04166666667,0.46,2,0.12,0,0,2.58
2016.125,10,5,1.67,0,0,16.67
2016.20833333333,76,94,76.5,7,30.7,284.2
2016.29166666667,59,82,60,10.2,65.9,277.1
2016.375,61,73,87,16.8,198.8,436.6
2016.45833333333,55,96,48,33.6,220.9,453.5
2016.54166666667,88,107,208,67.63,160,630.63
2016.625,61,97,189.8,55.29,217,620.09
2016.70833333333,68,118,109,56.14,209,560.14
2016.79166666667,67,71,76,17.58,77,308.58
2016.875,33,16,20,0,0.05,69.05
2016.95833333333,2.6,3.3,0.52,0,0,6.42
2017.04166666667,9.5,13,8.09,0,0,30.59
2017.125,4.75,8,1.48,0,0,14.23
2017.20833333333,33.4,54,21.23,0,1.2,109.83
2017.29166666667,84,94,51,6.7,67,302.7
2017.375,52,71,60.4,80,139,402.4
2017.45833333333,55,106,60,42.93,138,401.93
2017.54166666667,187,148,109.34,54.2,180,678.54
2017.625,153,151,217,89.1,224,834.1
2017.70833333333,125,120,131.46,51.2,253,680.66
2017.79166666667,81,42,111.75,16.7,54,305.45
2017.875,55,31,8.87,0,0,94.87
2017.95833333333,8.3,7.5,2.31,0,0,18.11
2018.04166666667,1,0.22,0.15,0,0,1.37
2018.125,36,37,16.5,1.33,13.65,104.48
2018.20833333333,76.7,58,25.17,1.6,2.21,163.68
2018.29166666667,63,71,34,6,24.5,198.5
2018.375,89,61.5,33.08,15.16,76.76,275.5
2018.45833333333,155,116,86,34.6,109.2,500.8
2018.54166666667,226.51333,163,212.02,43.44,188,832.97333
2018.625,133,141,140.21,111.43,176.83,702.47
2018.70833333333,195.6,165,129.3,64,180,733.9
2018.79166666667,255,235,325,22.4,190.7,1028.1
2018.875,97,32,55.6,0,0,184.6
2018.95833333333,2.1,4,0,0,0,6.1
2019.04166666667,40,35,5,0,0,80
2019.125,113.6,104,164.7,19.4,43.2,444.9
